date,close,open,high,low
2024-09-19,2044.25,2063.0,2066.77,2024.59
2024-09-20,2063.01,2081.72,2083.0,2061.33
2024-09-23,2083.81,2097.42,2110.21,2082.96
2024-09-24,2121.91,2198.53,2199.34,2121.14
2024-09-25,2244.69,2239.82,2281.52,2236.47
2024-09-26,2245.36,2318.96,2319.56,2229.97
2024-09-27,2360.21,2365.5,2375.82,2318.01
2024-09-30,2425.9,2481.28,2510.87,2393.25
2024-10-02,2483.6,2547.62,2552.72,2483.6
2024-10-03,2554.96,2536.84,2554.96,2502.26
2024-10-04,2530.59,2567.85,2567.85,2525.14
2024-10-07,2582.18,2605.73,2605.73,2577.18
2024-10-08,2736.53,2547.42,2741.02,2496.57
2024-10-09,2528.83,2410.71,2531.61,2392.37
2024-10-10,2434.49,2486.78,2538.72,2422.82
2024-10-11,2482.57,2462.94,2492.0,2447.31
2024-10-14,2477.56,2494.99,2514.13,2449.03
2024-10-15,2479.97,2413.32,2492.52,2405.3
2024-10-16,2392.78,2425.02,2447.05,2392.5
2024-10-17,2437.27,2390.99,2468.92,2386.34
2024-10-18,2393.12,2460.46,2490.34,2375.49
2024-10-21,2464.33,2443.71,2468.1,2435.95
2024-10-22,2436.47,2449.25,2464.49,2434.66
2024-10-23,2449.32,2464.74,2482.56,2440.9
2024-10-24,2449.76,2450.38,2459.38,2441.03
2024-10-25,2446.58,2446.4,2464.29,2441.55
2024-10-28,2444.18,2440.17,2444.18,2419.41
2024-10-29,2445.93,2424.51,2459.47,2419.12
2024-10-30,2418.76,2393.17,2429.75,2378.06
2024-10-31,2396.2,2387.83,2412.45,2377.17
2024-11-01,2392.69,2407.22,2427.95,2387.92
2024-11-04,2414.24,2435.2,2435.5,2394.98
2024-11-05,2425.05,2485.06,2485.06,2420.41
2024-11-06,2478.76,2441.09,2493.66,2428.58
2024-11-07,2416.87,2509.57,2511.21,2414.39
2024-11-08,2539.72,2477.74,2546.75,2477.74
2024-11-11,2438.65,2444.38,2448.05,2415.97
2024-11-12,2433.35,2390.02,2463.37,2376.71
2024-11-13,2376.64,2397.07,2403.13,2376.64
2024-11-14,2385.27,2364.38,2402.64,2360.96
2024-11-15,2365.61,2349.42,2379.65,2349.42
2024-11-18,2362.49,2371.41,2407.57,2360.59
2024-11-19,2380.86,2376.18,2391.7,2352.56
2024-11-20,2373.36,2376.18,2384.44,2367.64
2024-11-21,2370.49,2369.31,2380.06,2362.02
2024-11-22,2370.58,2301.9,2376.65,2296.92
2024-11-25,2311.85,2293.27,2319.25,2286.8
2024-11-26,2285.09,2290.37,2307.14,2281.89
2024-11-27,2289.34,2323.59,2326.03,2276.77
2024-11-28,2321.11,2297.68,2321.49,2293.92
2024-11-29,2299.6,2313.03,2337.89,2299.12
2024-12-02,2314.78,2326.85,2333.7,2308.0
2024-12-03,2327.44,2351.84,2355.47,2314.46
2024-12-04,2347.13,2354.26,2363.57,2335.77
2024-12-05,2346.12,2342.1,2354.36,2335.92
2024-12-06,2347.54,2383.07,2392.87,2347.54
2024-12-09,2377.69,2408.2,2408.61,2370.26
2024-12-10,2476.91,2415.92,2476.91,2415.92
2024-12-11,2415.63,2401.86,2430.86,2398.94
2024-12-12,2404.56,2427.98,2434.92,2401.49
2024-12-13,2411.85,2366.38,2411.85,2364.27
2024-12-16,2364.08,2363.52,2380.3,2358.17
2024-12-17,2358.71,2363.54,2383.18,2358.71
2024-12-18,2372.56,2379.4,2393.55,2372.56
2024-12-19,2359.75,2367.56,2372.1,2350.14
2024-12-20,2365.25,2350.88,2369.81,2350.88
2024-12-23,2357.2,2382.19,2392.85,2357.2
2024-12-24,2380.83,2415.23,2416.57,2380.78
2024-12-25,2416.55,2419.33,2428.4,2413.23
2024-12-26,2418.29,2415.28,2418.42,2409.09
2024-12-27,2414.56,2412.23,2421.62,2389.79
2024-12-30,2410.52,2423.67,2433.92,2410.52
2024-12-31,2421.59,2405.71,2434.01,2405.71
2025-01-02,2391.2,2321.43,2392.18,2310.28
2025-01-03,2325.87,2308.55,2332.0,2301.63
2025-01-06,2311.5,2306.75,2319.07,2287.75
2025-01-07,2302.16,2310.58,2312.4,2286.93
2025-01-08,2304.58,2308.17,2316.5,2283.49
2025-01-09,2305.27,2294.24,2310.1,2289.8
2025-01-10,2299.8,2266.96,2307.06,2266.16
2025-01-13,2254.9,2257.4,2263.96,2236.7
2025-01-14,2256.62,2301.82,2307.6,2252.43
2025-01-15,2298.48,2298.07,2312.26,2292.79
2025-01-16,2309.7,2315.16,2324.94,2298.86
2025-01-17,2310.71,2311.49,2322.84,2297.08
2025-01-20,2326.94,2322.6,2337.36,2319.62
2025-01-21,2344.87,2336.46,2346.24,2327.5
2025-01-22,2332.93,2306.08,2332.97,2301.28
2025-01-23,2324.09,2328.65,2359.67,2324.09
2025-01-24,2329.83,2361.2,2370.38,2323.45
2025-01-27,2364.52,2366.34,2377.67,2362.82
2025-01-28,2371.35,2360.38,2371.35,2355.66
2025-02-03,2343.45,2354.15,2354.15,2334.18
2025-02-04,2364.65,2374.99,2378.94,2353.51
2025-02-05,2383.22,2347.76,2383.22,2338.37
2025-02-06,2347.31,2375.47,2375.47,2337.96
2025-02-07,2374.07,2394.51,2399.69,2363.16
2025-02-10,2392.83,2404.08,2407.85,2384.47
2025-02-11,2413.37,2400.68,2413.61,2394.09
2025-02-12,2401.85,2437.94,2437.94,2394.55
2025-02-13,2435.9,2423.75,2458.69,2422.41
2025-02-14,2432.18,2466.01,2466.01,2430.84
2025-02-17,2466.23,2467.05,2479.49,2447.63
2025-02-18,2464.51,2461.85,2485.75,2448.6
2025-02-19,2455.32,2459.94,2467.94,2447.77
2025-02-20,2457.83,2457.32,2463.16,2441.65
2025-02-21,2475.68,2488.52,2493.03,2460.4
2025-02-24,2481.48,2485.91,2506.05,2469.87
2025-02-25,2465.58,2448.29,2470.58,2440.61
2025-02-26,2457.7,2486.65,2491.64,2457.7
2025-02-27,2485.18,2491.78,2495.35,2468.99
2025-02-28,2475.54,2431.15,2482.52,2425.46
2025-03-03,2437.93,2429.87,2454.32,2422.61
2025-03-04,2408.6,2415.77,2422.99,2401.83
2025-03-05,2427.6,2458.59,2460.18,2426.42
2025-03-06,2479.82,2490.1,2493.11,2469.59
2025-03-07,2485.2,2484.53,2502.17,2479.91
2025-03-10,2484.21,2466.14,2491.89,2453.51
2025-03-11,2442.19,2475.53,2477.93,2441.32
2025-03-12,2477.59,2475.38,2491.03,2467.27
2025-03-13,2476.54,2478.58,2496.85,2466.13
2025-03-14,2489.29,2545.68,2553.5,2487.84
2025-03-17,2554.79,2548.49,2562.52,2546.23
2025-03-18,2574.25,2580.88,2580.88,2564.22
2025-03-19,2586.41,2593.26,2598.9,2575.35
2025-03-20,2596.8,2565.83,2597.18,2563.43
2025-03-21,2554.49,2518.45,2562.86,2510.81
2025-03-24,2523.63,2543.18,2544.59,2514.37
2025-03-25,2537.45,2527.55,2545.54,2523.64
2025-03-26,2531.21,2515.25,2533.33,2506.46
2025-03-27,2510.93,2520.43,2536.07,2505.97
2025-03-28,2527.31,2506.47,2527.31,2496.71
2025-03-31,2498.93,2500.79,2530.54,2494.67
2025-04-01,2503.7,2493.4,2508.21,2485.74
2025-04-02,2488.81,2495.71,2499.58,2480.68
2025-04-03,2465.17,2468.96,2481.61,2460.49
2025-04-07,2332.97,2250.38,2340.06,2232.62
2025-04-08,2258.49,2286.4,2290.66,2254.23
2025-04-09,2253.5,2292.06,2296.46,2229.6
2025-04-10,2324.64,2326.64,2349.0,2316.46
2025-04-11,2332.21,2362.07,2369.26,2322.77
2025-04-14,2390.43,2392.58,2398.27,2380.59
2025-04-15,2395.97,2401.08,2401.84,2382.92
2025-04-16,2396.15,2391.03,2396.15,2367.47
2025-04-17,2392.31,2403.13,2403.13,2384.74
2025-04-18,2397.73,2405.68,2410.25,2396.14
2025-04-21,2403.5,2411.07,2415.28,2402.72
2025-04-22,2409.19,2420.1,2425.92,2407.22
2025-04-23,2441.92,2431.73,2442.04,2422.11
2025-04-24,2432.46,2438.38,2447.16,2426.25
2025-04-25,2448.01,2441.21,2452.9,2437.73
2025-04-28,2438.5,2437.91,2444.5,2418.23
2025-04-29,2443.75,2434.85,2450.35,2428.95
2025-04-30,2426.91,2408.89,2426.91,2396.52
2025-05-02,2410.18,2415.95,2417.07,2403.79
2025-05-06,2422.59,2445.86,2448.43,2414.37
2025-05-07,2482.54,2461.81,2484.27,2459.75
2025-05-08,2454.14,2468.44,2482.86,2453.71
2025-05-09,2466.43,2470.43,2475.27,2464.32
2025-05-12,2487.92,2518.02,2521.38,2482.27
2025-05-13,2526.75,2520.66,2527.24,2517.18
2025-05-14,2524.1,2566.02,2568.01,2515.91
2025-05-15,2557.76,2547.11,2563.92,2543.02
2025-05-16,2541.9,2537.32,2545.57,2522.98
2025-05-19,2527.61,2527.46,2537.35,2522.05
2025-05-20,2531.99,2548.26,2552.04,2531.99
2025-05-21,2552.27,2573.07,2581.73,2550.42
2025-05-22,2571.2,2573.27,2582.06,2566.45
2025-05-23,2572.66,2570.66,2593.44,2563.66
2025-05-26,2565.52,2548.71,2581.05,2546.35
2025-05-27,2547.76,2539.69,2554.02,2531.78
2025-05-28,2540.51,2537.34,2547.65,2530.93
2025-05-29,2532.37,2546.73,2548.66,2523.58
2025-05-30,2536.27,2530.1,2541.47,2522.66
2025-06-02,2520.16,2516.14,2520.79,2496.71
2025-06-03,2519.42,2552.29,2553.19,2519.42
2025-06-04,2554.98,2563.7,2569.51,2553.73
2025-06-05,2570.98,2573.84,2576.33,2563.06
2025-06-06,2578.17,2571.03,2585.88,2568.62
2025-06-09,2576.36,2583.25,2583.9,2565.89
2025-06-10,2584.68,2590.86,2606.63,2574.64
2025-06-11,2594.96,2629.94,2631.55,2594.96
2025-06-12,2621.47,2624.59,2638.72,2610.79
2025-06-13,2620.98,2609.66,2627.63,2601.17
2025-06-16,2605.86,2624.35,2626.03,2599.33
2025-06-17,2623.53,2620.06,2628.77,2616.22
2025-06-18,2615.57,2609.78,2622.39,2596.72
